title,security,nature,nutritional_value,quality,rate,site,page
"Колбаса полукопченая ""Великолукский мясокомбинат"", Краковская люкс",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/velikolukskiy-myasokombinat-krakovskaya-lyuks/
"Колбаса варено-копченая ""Читинская мясная компания"", Мини-салями",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/chitinskaya-myasnaya-kompaniya-mini-salyami/
"Колбаса варено-копченая ""Фамильные колбасы"", Буженинная",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/premium-bugeninnaya/
"Колбаса варено-копченая ""Калинка"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/kalinka-servelat/
"Колбаса полукопченая ""Максимовские колбасы"", Украинская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/maksimovskie-kolbasi-ukrainskaya/
"Колбаса варено-копченая ""Микоян"", сервелат миндальный",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/mikoyan/
"Колбаса жареная ""С печенью""",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-zharienaia-s-piechien-iu/
"Колбаса полукопченая ""Одесская""",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-polukopchienaia-odiesskaia/
"Колбаса ""Украинская жареная""",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-ukrainskaia-zharienaia/
"Колбаса варено-копченая ""Московская""",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-varieno-kopchienaia-moskovskaia/
"Колбаса полукопченая ""Краковская""",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-polukopchienaia-krakovskaia/
"Колбаса полукопченая ""Клинский Мясокомбинат"", Краковская",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/krakovskaya/
"Колбаса варено-копченая ""Снежана"", Сервелат финский",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/snegana-servelat-finskiy/
"Колбаса полкопченая ""Останкино"", Венская салями",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/ostankino-venskaya-salyami-polukopchenaya/
"Колбаса варено-копченая ""Микоян"", Сервелат финский",0,0,0,0,0,http://Росконтроль.рф,http://Росконтроль.рф/product/mikoyan-finskiy-servelat/
